id,Ecap,SoC_init,SoC_max,SoC_min,R_i,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
137,40.88,0.225,0.668,0.05,7.0,7.0,-7.0,11.19,65,110,0.0244
138,90.97,0.291,0.654,0.05,11.0,11.0,-11.0,3.15,19,32,0.027
139,46.17,0.188,0.416,0.05,3.6,3.6,-3.6,3.08,65,78,0.0112
140,40.5,0.129,0.46,0.05,3.6,3.6,-3.6,8.52,41,76,0.0308
141,51.29,0.231,0.431,0.05,7.0,7.0,-7.0,8.56,31,66,0.0157
142,97.15,0.28,0.645,0.05,11.0,11.0,-11.0,9.1,47,84,0.0226
143,38.73,0.189,0.55,0.05,3.6,3.6,-3.6,8.98,74,110,0.0352
144,36.32,0.376,0.81,0.05,7.0,7.0,-7.0,10.29,70,112,0.0132
145,47.33,0.292,0.578,0.05,7.0,7.0,-7.0,3.93,72,88,0.0307
146,49.04,0.299,0.684,0.05,3.6,3.6,-3.6,5.52,22,45,0.0207
147,54.38,0.465,0.709,0.05,7.0,7.0,-7.0,4.59,26,45,0.0224
148,77.07,0.192,0.525,0.05,11.0,11.0,-11.0,3.66,35,50,0.028
149,41.4,0.202,0.545,0.05,7.0,7.0,-7.0,5.86,21,45,0.0208
150,51.4,0.477,0.86,0.05,7.0,7.0,-7.0,5.25,63,85,0.0206
151,40.64,0.36,0.69,0.05,7.0,7.0,-7.0,3.93,79,95,0.0352
152,71.39,0.342,0.603,0.05,22.0,22.0,-22.0,5.24,69,90,0.0135
153,88.62,0.179,0.503,0.05,22.0,22.0,-22.0,6.19,35,60,0.0254
154,40.77,0.198,0.518,0.05,7.0,7.0,-7.0,4.59,25,44,0.0302
155,79.73,0.259,0.627,0.05,11.0,11.0,-11.0,5.54,35,58,0.0146
156,50.31,0.16,0.434,0.05,3.6,3.6,-3.6,6.07,29,54,0.0342
157,78.14,0.276,0.632,0.05,22.0,22.0,-22.0,4.76,59,79,0.0409
158,41.92,0.226,0.656,0.05,7.0,7.0,-7.0,10.07,31,72,0.0791
159,36.82,0.361,0.731,0.05,3.6,3.6,-3.6,5.25,24,45,0.028
160,88.99,0.126,0.414,0.05,22.0,22.0,-22.0,7.9,76,108,0.0183
161,46.96,0.26,0.484,0.05,3.6,3.6,-3.6,3.07,76,89,0.0116
162,53.07,0.334,0.67,0.05,7.0,7.0,-7.0,4.08,34,51,0.0301
163,50.05,0.328,0.647,0.05,7.0,7.0,-7.0,8.82,31,67,0.0234
164,52.58,0.35,0.751,0.05,3.6,3.6,-3.6,9.28,36,74,0.0345
165,52.69,0.21,0.621,0.05,3.6,3.6,-3.6,6.46,39,65,0.0332
166,91.67,0.14,0.535,0.05,11.0,11.0,-11.0,4.3,32,50,0.0301
167,93.72,0.194,0.454,0.05,11.0,11.0,-11.0,4.5,49,67,0.0463
168,46.75,0.118,0.346,0.05,3.6,3.6,-3.6,5.12,31,52,0.0139
169,44.35,0.094,0.404,0.05,7.0,7.0,-7.0,2.07,62,71,0.0231
170,39.15,0.114,0.507,0.05,3.6,3.6,-3.6,7.72,72,103,0.0127
171,39.02,0.473,0.79,0.05,7.0,7.0,-7.0,6.46,75,101,0.0149
172,74.24,0.247,0.483,0.05,11.0,11.0,-11.0,4.24,39,56,0.0108
173,53.29,0.187,0.46,0.05,7.0,7.0,-7.0,2.18,27,36,0.0204
174,74.06,0.138,0.381,0.05,22.0,22.0,-22.0,5.44,14,36,0.0143
175,91.42,0.139,0.399,0.05,11.0,11.0,-11.0,5.16,19,40,0.0232
176,93.53,0.106,0.383,0.05,22.0,22.0,-22.0,3.4,27,41,0.0213
177,79.14,0.277,0.527,0.05,22.0,22.0,-22.0,5.09,73,94,0.0153
178,53.61,0.07,0.333,0.05,3.6,3.6,-3.6,4.66,55,74,0.0162
179,54.53,0.14,0.532,0.05,7.0,7.0,-7.0,3.22,54,67,0.0114
180,72.64,0.592,0.804,0.05,22.0,22.0,-22.0,9.04,71,108,0.0167
181,80.61,0.515,0.8,0.05,11.0,11.0,-11.0,7.64,32,63,0.0195
182,43.97,0.235,0.447,0.05,3.6,3.6,-3.6,6.08,37,62,0.015
183,83.0,0.43,0.676,0.05,11.0,11.0,-11.0,5.68,34,57,0.0235
184,78.64,0.145,0.402,0.05,11.0,11.0,-11.0,7.06,39,68,0.0241
185,70.3,0.288,0.623,0.05,22.0,22.0,-22.0,2.92,43,55,0.0168
186,42.45,0.197,0.512,0.05,3.6,3.6,-3.6,7.76,42,74,0.0157
187,40.49,0.226,0.549,0.05,3.6,3.6,-3.6,3.82,70,86,0.0246
188,52.53,0.231,0.419,0.05,3.6,3.6,-3.6,2.9,75,87,0.0503
189,88.79,0.152,0.461,0.05,22.0,22.0,-22.0,7.45,79,109,0.0277
190,43.29,0.257,0.526,0.05,3.6,3.6,-3.6,4.21,73,90,0.0191
191,74.5,0.208,0.568,0.05,22.0,22.0,-22.0,9.46,32,70,0.0106
192,43.82,0.181,0.584,0.05,7.0,7.0,-7.0,4.74,61,80,0.0218
193,40.77,0.24,0.462,0.05,3.6,3.6,-3.6,7.72,72,103,0.0211
194,92.76,0.183,0.455,0.05,11.0,11.0,-11.0,3.69,30,45,0.0295
195,88.06,0.069,0.419,0.05,22.0,22.0,-22.0,3.3,28,42,0.0221
196,36.31,0.421,0.686,0.05,7.0,7.0,-7.0,5.7,78,101,0.0231
197,46.96,0.409,0.772,0.05,7.0,7.0,-7.0,9.94,83,123,0.0372
198,45.26,0.216,0.455,0.05,7.0,7.0,-7.0,3.87,21,37,0.0142
199,37.18,0.222,0.546,0.05,7.0,7.0,-7.0,1.98,77,85,0.0178
200,99.73,0.161,0.369,0.05,22.0,22.0,-22.0,4.54,56,75,0.0178
