id,Ecap,SoC_init,SoC_max,R_i,T_stay,T_arr_idx,T_dep_idx,SoC_min,cdeg
83,38,0.171,0.411,3.6,4.57,26,45,0.17,0.0214
84,49,0.153,0.571,7.0,4.34,30,48,0.10,0.0178
85,79,0.151,0.558,11.0,7.21,19,48,0.10,0.0186
86,54,0.321,0.732,11.0,2.83,36,48,0.18,0.0148
87,74,0.147,0.447,7.0,3.34,29,43,0.12,0.0139
88,46,0.185,0.477,22.0,9.84,8,48,0.09,0.0180
89,95,0.115,0.341,11.0,8.32,14,48,0.12,0.0153
90,77,0.221,0.425,3.6,4.58,29,48,0.18,0.0272
91,41,0.471,0.589,3.6,1.42,37,43,0.16,0.0203
92,41,0.078,0.306,7.0,9.11,11,48,0.08,0.0176
93,47,0.142,0.495,7.0,2.49,38,48,0.11,0.0193
94,78,0.079,0.436,11.0,7.52,17,48,0.06,0.0222
95,51,0.203,0.419,7.0,7.56,17,48,0.06,0.0293
96,86,0.217,0.612,7.0,8.56,13,48,0.11,0.0264
97,85,0.232,0.553,11.0,2.61,37,48,0.06,0.0221
98,44,0.467,0.755,3.6,11.60,1,48,0.19,0.0121
99,51,0.394,0.533,3.6,2.07,39,48,0.14,0.0230
100,81,0.330,0.493,3.6,3.87,32,48,0.12,0.0179
