id,Ecap,SoC_init,SoC_max,R_i,T_stay,T_arr_idx,T_dep_idx,SoC_min,cdeg
87,51,0.138,0.394,7.0,10.92,4,48,0.07,0.0228
88,94,0.305,0.685,7.0,5.48,26,48,0.07,0.0220
89,53,0.340,0.650,11.0,4.34,30,48,0.06,0.0284
90,96,0.285,0.676,7.0,5.64,25,48,0.07,0.0139
91,53,0.233,0.484,3.6,3.90,32,48,0.11,0.0200
92,83,0.147,0.239,3.6,2.23,39,48,0.15,0.0250
93,78,0.431,0.874,11.0,4.59,29,48,0.06,0.0175
94,53,0.123,0.199,3.6,1.18,43,48,0.12,0.0120
95,40,0.260,0.547,7.0,7.75,16,48,0.08,0.0259
96,86,0.179,0.371,3.6,4.84,28,48,0.12,0.0157
97,35,0.204,0.436,7.0,7.73,17,48,0.15,0.0172
98,83,0.112,0.558,11.0,6.49,22,48,0.08,0.0232
99,50,0.149,0.529,3.6,10.82,4,48,0.14,0.0205
100,47,0.295,0.681,3.6,5.65,25,48,0.06,0.0269
101,48,0.190,0.470,7.0,10.26,6,48,0.05,0.0273
102,51,0.480,0.816,7.0,5.67,25,48,0.16,0.0176
103,48,0.297,0.720,11.0,3.31,34,48,0.20,0.0166
104,43,0.318,0.521,3.6,8.28,14,48,0.17,0.0312
105,85,0.315,0.639,7.0,8.93,12,48,0.09,0.0142
106,84,0.141,0.264,3.6,3.02,35,48,0.07,0.0180
107,48,0.289,0.456,3.6,2.34,26,36,0.11,0.0194
108,48,0.260,0.646,3.6,6.19,23,48,0.13,0.0235
109,50,0.145,0.398,7.0,8.26,14,48,0.10,0.0185
110,53,0.375,0.672,11.0,3.33,34,48,0.20,0.0167
111,78,0.117,0.380,7.0,5.28,26,48,0.10,0.0293
112,39,0.294,0.519,3.6,4.41,30,48,0.05,0.0204
113,51,0.113,0.470,7.0,6.95,20,48,0.11,0.0255
114,51,0.189,0.555,11.0,8.22,15,48,0.17,0.0187
115,36,0.125,0.524,11.0,5.54,25,48,0.11,0.0181
116,49,0.128,0.453,3.6,5.84,24,48,0.13,0.0151
117,45,0.335,0.674,22.0,7.63,17,48,0.08,0.0163
118,86,0.378,0.701,22.0,2.59,37,48,0.07,0.0221
119,51,0.332,0.553,7.0,5.90,24,48,0.07,0.0197
120,75,0.259,0.521,3.6,5.74,25,48,0.07,0.0190
121,48,0.269,0.473,7.0,5.11,27,48,0.13,0.0257
122,70,0.284,0.525,7.0,6.24,23,48,0.10,0.0283
123,99,0.216,0.563,11.0,3.29,34,48,0.15,0.0276
124,38,0.104,0.450,11.0,5.70,22,45,0.10,0.0193
125,73,0.216,0.490,3.6,5.84,24,48,0.10,0.0134
126,91,0.286,0.584,7.0,10.51,5,48,0.09,0.0150
127,80,0.390,0.565,3.6,4.09,31,48,0.07,0.0176
128,51,0.227,0.520,3.6,4.67,29,48,0.15,0.0186
129,47,0.090,0.381,3.6,4.01,31,48,0.09,0.0213
130,91,0.235,0.556,22.0,3.64,33,48,0.07,0.0224
131,49,0.189,0.466,7.0,2.04,34,43,0.16,0.0244
132,93,0.201,0.531,22.0,10.23,7,48,0.12,0.0160
133,45,0.142,0.421,7.0,10.18,7,48,0.13,0.0195
134,52,0.149,0.521,11.0,4.27,30,48,0.15,0.0224
135,82,0.362,0.652,11.0,2.87,36,48,0.16,0.0202
136,39,0.297,0.728,7.0,9.43,10,48,0.19,0.0225
137,43,0.350,0.655,7.0,1.97,40,48,0.05,0.0204
138,99,0.179,0.472,22.0,8.64,13,48,0.09,0.0262
139,52,0.292,0.704,7.0,8.85,12,48,0.14,0.0169
140,81,0.087,0.454,11.0,4.71,29,48,0.09,0.0194
141,95,0.138,0.475,7.0,6.21,23,48,0.09,0.0288
142,77,0.324,0.714,7.0,8.34,14,48,0.08,0.0157
143,52,0.257,0.457,11.0,9.24,11,48,0.19,0.0200
144,37,0.298,0.666,7.0,6.20,23,48,0.06,0.0133
145,53,0.308,0.678,11.0,5.20,27,48,0.05,0.0294
146,41,0.313,0.640,7.0,2.73,37,48,0.12,0.0156
147,41,0.292,0.573,11.0,5.43,26,48,0.06,0.0228
148,49,0.068,0.342,3.6,3.93,24,40,0.07,0.0171
149,38,0.277,0.677,3.6,6.36,22,48,0.14,0.0206
150,44,0.128,0.387,3.6,6.09,23,48,0.09,0.0181
151,36,0.257,0.583,3.6,6.36,22,48,0.13,0.0146
152,51,0.315,0.741,11.0,3.62,33,48,0.18,0.0163
153,81,0.383,0.488,3.6,2.48,38,48,0.06,0.0205
154,99,0.094,0.334,7.0,5.15,27,48,0.09,0.0291
155,78,0.164,0.431,11.0,6.89,20,48,0.14,0.0250
156,48,0.244,0.468,3.6,7.57,17,48,0.06,0.0183
157,53,0.331,0.542,3.6,6.17,23,48,0.05,0.0212
158,99,0.245,0.429,11.0,1.75,31,38,0.19,0.0136
159,36,0.285,0.527,3.6,2.55,31,42,0.06,0.0139
160,51,0.158,0.456,11.0,5.38,26,48,0.08,0.0196
161,45,0.152,0.397,7.0,6.18,23,48,0.08,0.0157
162,49,0.272,0.537,3.6,5.61,19,42,0.12,0.0199
163,53,0.148,0.497,11.0,2.12,39,48,0.15,0.0200
164,39,0.259,0.504,3.6,5.73,25,48,0.17,0.0222
165,49,0.401,0.798,22.0,8.22,15,48,0.07,0.0163
166,73,0.135,0.513,11.0,4.07,31,48,0.14,0.0163
167,35,0.184,0.454,3.6,3.44,32,46,0.11,0.0226
168,40,0.138,0.355,22.0,8.11,15,48,0.08,0.0302
169,71,0.130,0.508,22.0,7.56,17,48,0.11,0.0200
170,51,0.341,0.724,3.6,7.35,18,48,0.16,0.0215
171,40,0.175,0.577,3.6,6.59,21,48,0.11,0.0175
172,73,0.262,0.463,11.0,4.64,29,48,0.09,0.0292
173,54,0.306,0.613,11.0,3.10,35,48,0.18,0.0201
174,38,0.376,0.577,11.0,6.16,23,48,0.11,0.0184
175,42,0.287,0.560,7.0,5.67,25,48,0.11,0.0174
176,98,0.148,0.406,11.0,4.04,31,48,0.15,0.0138
177,45,0.188,0.559,22.0,3.53,33,48,0.19,0.0279
178,90,0.266,0.410,7.0,1.95,17,25,0.08,0.0207
179,54,0.335,0.768,22.0,1.86,40,48,0.13,0.0156
180,45,0.090,0.461,7.0,4.02,31,48,0.09,0.0145
181,52,0.073,0.390,7.0,4.88,28,48,0.07,0.0179
182,55,0.556,0.779,7.0,2.94,20,32,0.15,0.0210
183,49,0.357,0.751,7.0,6.94,20,48,0.17,0.0264
184,78,0.160,0.416,22.0,4.21,31,48,0.14,0.0170
185,84,0.176,0.400,7.0,4.97,23,43,0.13,0.0153
186,54,0.297,0.527,3.6,10.47,6,48,0.20,0.0156
187,40,0.179,0.612,7.0,4.08,31,48,0.06,0.0156
188,39,0.120,0.397,7.0,6.64,21,48,0.12,0.0201
189,51,0.152,0.364,3.6,4.80,28,48,0.07,0.0182
190,51,0.324,0.558,7.0,3.44,23,37,0.18,0.0202
191,80,0.193,0.452,7.0,3.98,32,48,0.12,0.0218
192,39,0.375,0.808,7.0,6.83,20,48,0.12,0.0202
193,49,0.361,0.675,7.0,3.39,34,48,0.08,0.0172
194,46,0.167,0.442,11.0,5.00,27,48,0.12,0.0277
195,36,0.240,0.477,7.0,4.98,28,48,0.15,0.0161
196,53,0.212,0.453,7.0,5.59,25,48,0.16,0.0117
197,92,0.243,0.643,11.0,4.98,28,48,0.15,0.0248
198,52,0.341,0.583,11.0,6.79,20,48,0.11,0.0232
199,79,0.238,0.510,22.0,3.50,22,36,0.19,0.0201
200,45,0.122,0.394,22.0,6.77,20,48,0.12,0.0128
