id,Ecap,SoC_init,SoC_max,R_i,T_stay,T_arr_idx,T_dep_idx,SoC_min,cdeg
42,36,0.156,0.564,11.0,6.01,23,48,0.16,0.0335
43,39,0.234,0.446,11.0,1.71,41,48,0.15,0.0228
44,36,0.227,0.590,3.6,9.98,8,48,0.17,0.0153
45,42,0.247,0.452,7.0,4.05,31,48,0.20,0.0258
46,39,0.203,0.342,3.6,1.59,25,32,0.13,0.0306
47,48,0.129,0.334,7.0,7.08,19,48,0.10,0.0274
48,39,0.274,0.498,3.6,2.55,32,43,0.10,0.0280
49,41,0.128,0.561,7.0,8.23,15,48,0.13,0.0336
50,86,0.302,0.724,7.0,5.45,26,48,0.05,0.0236
51,37,0.323,0.530,3.6,5.69,25,48,0.10,0.0277
52,86,0.133,0.357,7.0,8.20,15,48,0.08,0.0154
53,54,0.133,0.360,7.0,4.15,31,48,0.13,0.0196
54,42,0.201,0.363,3.6,1.99,31,39,0.14,0.0249
55,70,0.087,0.302,11.0,6.87,16,44,0.08,0.0113
56,50,0.111,0.292,3.6,2.64,37,48,0.10,0.0151
57,44,0.120,0.387,11.0,4.33,30,48,0.09,0.0212
58,97,0.380,0.461,3.6,2.28,38,48,0.15,0.0238
59,83,0.070,0.374,11.0,3.11,35,48,0.07,0.0223
60,47,0.230,0.434,22.0,1.29,42,48,0.07,0.0147
61,95,0.203,0.519,7.0,4.52,29,48,0.06,0.0279
62,47,0.157,0.369,3.6,6.10,17,42,0.09,0.0161
63,40,0.147,0.397,3.6,6.70,21,48,0.15,0.0185
64,35,0.365,0.588,11.0,6.97,20,48,0.12,0.0162
65,38,0.196,0.476,11.0,5.21,27,48,0.05,0.0193
66,46,0.218,0.616,11.0,4.42,30,48,0.16,0.0304
67,41,0.073,0.318,3.6,7.49,18,48,0.07,0.0163
68,43,0.293,0.618,3.6,7.91,16,48,0.06,0.0174
69,39,0.254,0.606,3.6,5.13,27,48,0.16,0.0207
70,36,0.228,0.559,3.6,4.55,26,45,0.14,0.0182
71,39,0.414,0.796,7.0,3.46,34,48,0.06,0.0166
72,52,0.262,0.602,7.0,5.39,26,48,0.13,0.0122
73,40,0.253,0.625,11.0,4.62,29,48,0.10,0.0289
74,44,0.189,0.556,7.0,8.90,12,48,0.07,0.0209
75,55,0.399,0.624,3.6,7.61,17,48,0.10,0.0235
76,74,0.311,0.565,11.0,5.04,23,44,0.11,0.0204
77,40,0.184,0.556,7.0,6.08,23,48,0.15,0.0139
78,82,0.315,0.517,7.0,2.49,26,36,0.17,0.0158
79,44,0.257,0.650,7.0,8.76,12,48,0.10,0.0246
80,47,0.152,0.436,3.6,9.60,9,48,0.15,0.0249
81,43,0.140,0.408,3.6,5.06,27,48,0.08,0.0209
82,55,0.136,0.365,7.0,5.95,24,48,0.14,0.0185
83,86,0.198,0.616,11.0,4.02,31,48,0.12,0.0254
84,51,0.230,0.657,7.0,5.84,24,48,0.18,0.0121
85,45,0.120,0.342,7.0,6.58,21,48,0.12,0.0243
86,83,0.118,0.349,22.0,10.74,5,48,0.12,0.0142
87,50,0.267,0.615,3.6,5.19,27,48,0.13,0.0256
88,51,0.084,0.358,3.6,4.65,28,47,0.08,0.0263
89,53,0.272,0.715,7.0,3.77,32,48,0.13,0.0213
90,85,0.416,0.834,22.0,5.90,24,48,0.17,0.0243
91,42,0.354,0.590,3.6,3.30,32,46,0.16,0.0253
92,45,0.376,0.587,7.0,8.22,15,48,0.12,0.0168
93,53,0.142,0.581,11.0,3.93,25,41,0.12,0.0240
94,53,0.175,0.533,7.0,4.26,30,48,0.08,0.0176
95,39,0.161,0.536,7.0,3.54,26,41,0.16,0.0196
96,38,0.266,0.553,22.0,3.43,34,48,0.08,0.0201
97,54,0.265,0.712,22.0,7.26,18,48,0.12,0.0188
98,37,0.208,0.548,11.0,9.14,11,48,0.16,0.0220
99,90,0.159,0.257,3.6,2.58,37,48,0.15,0.0183
100,47,0.201,0.461,3.6,3.97,32,48,0.13,0.0197
101,40,0.078,0.420,3.6,9.98,8,48,0.08,0.0231
102,37,0.281,0.724,3.6,5.95,24,48,0.20,0.0187
103,99,0.585,0.896,22.0,4.44,30,48,0.10,0.0329
104,48,0.251,0.585,7.0,2.80,36,48,0.13,0.0192
105,37,0.288,0.631,11.0,9.80,8,48,0.19,0.0201
106,81,0.285,0.504,7.0,4.05,28,45,0.05,0.0237
107,55,0.243,0.637,7.0,3.26,34,48,0.18,0.0198
108,78,0.348,0.697,7.0,4.49,26,44,0.08,0.0273
109,45,0.199,0.446,22.0,2.46,37,47,0.12,0.0221
110,43,0.360,0.704,7.0,4.19,31,48,0.09,0.0153
111,52,0.324,0.718,7.0,4.31,30,48,0.09,0.0195
112,71,0.399,0.787,11.0,9.92,8,48,0.12,0.0313
113,52,0.100,0.488,7.0,9.54,9,48,0.08,0.0325
114,49,0.163,0.528,22.0,7.22,19,48,0.12,0.0231
115,40,0.285,0.525,11.0,3.39,34,48,0.09,0.0165
116,54,0.296,0.514,3.6,9.39,10,48,0.11,0.0238
117,50,0.503,0.870,11.0,7.12,19,48,0.20,0.0173
118,86,0.121,0.371,3.6,6.29,22,48,0.07,0.0237
119,71,0.320,0.586,22.0,6.06,23,48,0.11,0.0222
120,74,0.149,0.435,11.0,4.04,31,48,0.07,0.0211
121,96,0.137,0.486,11.0,3.84,32,48,0.10,0.0149
122,84,0.168,0.428,7.0,4.39,30,48,0.08,0.0192
123,46,0.114,0.563,7.0,4.40,30,48,0.11,0.0158
124,86,0.238,0.598,22.0,3.51,33,48,0.20,0.0167
125,48,0.117,0.488,11.0,4.17,28,45,0.12,0.0180
126,79,0.146,0.584,11.0,4.89,28,48,0.14,0.0135
127,47,0.166,0.493,22.0,3.86,32,48,0.08,0.0230
128,41,0.118,0.397,7.0,8.25,15,48,0.12,0.0176
129,48,0.306,0.717,7.0,4.31,30,48,0.06,0.0197
130,82,0.267,0.429,3.6,3.89,32,48,0.12,0.0177
131,43,0.204,0.488,7.0,9.76,8,48,0.20,0.0202
132,44,0.231,0.524,7.0,7.76,16,48,0.18,0.0196
133,79,0.326,0.669,3.6,8.78,12,48,0.11,0.0201
134,46,0.271,0.495,7.0,4.16,24,41,0.12,0.0168
135,42,0.202,0.547,11.0,8.65,13,48,0.05,0.0202
136,49,0.139,0.441,22.0,4.78,28,48,0.13,0.0159
137,52,0.332,0.778,7.0,3.71,16,31,0.17,0.0197
138,73,0.391,0.719,11.0,2.29,38,48,0.16,0.0180
139,54,0.085,0.294,22.0,9.93,8,48,0.09,0.0279
140,76,0.192,0.367,3.6,3.89,32,48,0.14,0.0220
141,54,0.325,0.656,3.6,10.31,6,48,0.15,0.0363
142,36,0.092,0.305,3.6,8.14,15,48,0.08,0.0204
143,90,0.165,0.333,3.6,4.42,30,48,0.11,0.0197
144,37,0.124,0.415,3.6,5.23,27,48,0.06,0.0113
145,45,0.108,0.339,3.6,3.04,33,46,0.11,0.0206
146,48,0.388,0.824,7.0,6.72,21,48,0.12,0.0225
147,88,0.153,0.356,7.0,7.90,16,48,0.15,0.0169
148,41,0.328,0.720,7.0,2.51,29,40,0.07,0.0131
149,48,0.163,0.556,3.6,6.43,22,48,0.11,0.0132
150,40,0.177,0.421,7.0,5.88,24,48,0.16,0.0264
