id,Ecap,SoC_init,SoC_max,SoC_min,R_i,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
62,42.63,0.29,0.579,0.05,3.6,3.6,-3.6,3.6,29,44,0.0283
63,54.3,0.413,0.61,0.05,3.6,3.6,-3.6,3.13,35,48,0.0392
64,48.56,0.368,0.62,0.05,3.6,3.6,-3.6,3.58,81,96,0.0098
65,92.45,0.251,0.461,0.05,11.0,11.0,-11.0,5.95,43,67,0.0205
66,49.18,0.129,0.479,0.05,3.6,3.6,-3.6,7.98,66,98,0.0183
67,87.35,0.082,0.467,0.05,11.0,11.0,-11.0,7.77,24,56,0.0188
68,84.49,0.264,0.688,0.05,22.0,22.0,-22.0,6.1,69,94,0.0245
69,74.49,0.256,0.551,0.05,22.0,22.0,-22.0,9.57,38,77,0.0149
70,38.77,0.286,0.609,0.05,3.6,3.6,-3.6,7.0,58,87,0.0224
71,48.67,0.131,0.49,0.05,3.6,3.6,-3.6,5.73,31,54,0.0122
72,83.05,0.35,0.711,0.05,22.0,22.0,-22.0,7.32,42,72,0.0399
73,51.82,0.15,0.539,0.05,7.0,7.0,-7.0,6.74,61,88,0.0115
74,48.16,0.487,0.818,0.05,7.0,7.0,-7.0,7.66,67,98,0.0452
75,37.51,0.096,0.503,0.05,7.0,7.0,-7.0,7.9,74,106,0.0091
76,46.38,0.182,0.4,0.05,3.6,3.6,-3.6,5.91,71,95,0.0149
77,48.61,0.25,0.642,0.05,7.0,7.0,-7.0,5.67,24,47,0.0199
78,37.7,0.079,0.425,0.05,7.0,7.0,-7.0,6.09,59,84,0.0318
79,43.08,0.367,0.785,0.05,7.0,7.0,-7.0,3.11,35,48,0.0149
80,92.56,0.214,0.627,0.05,11.0,11.0,-11.0,3.89,40,56,0.0249
81,75.67,0.215,0.415,0.05,11.0,11.0,-11.0,8.81,62,98,0.009
82,36.6,0.26,0.573,0.05,7.0,7.0,-7.0,8.25,70,104,0.0147
83,52.48,0.134,0.468,0.05,3.6,3.6,-3.6,5.14,28,49,0.0308
84,81.15,0.11,0.53,0.05,22.0,22.0,-22.0,3.41,77,91,0.0387
85,46.05,0.106,0.323,0.05,7.0,7.0,-7.0,1.5,37,44,0.0327
86,80.93,0.26,0.698,0.05,11.0,11.0,-11.0,9.39,29,67,0.0107
87,97.01,0.353,0.727,0.05,22.0,22.0,-22.0,5.89,26,50,0.01
88,40.81,0.224,0.43,0.05,7.0,7.0,-7.0,6.77,76,104,0.0225
89,50.87,0.311,0.59,0.05,7.0,7.0,-7.0,6.43,77,103,0.0084
90,75.88,0.218,0.526,0.05,11.0,11.0,-11.0,6.08,82,107,0.0201
91,52.23,0.173,0.586,0.05,7.0,7.0,-7.0,6.43,63,89,0.0347
92,50.74,0.095,0.351,0.05,7.0,7.0,-7.0,8.16,52,85,0.0402
93,42.14,0.174,0.457,0.05,7.0,7.0,-7.0,8.87,38,74,0.0102
94,39.08,0.193,0.549,0.05,7.0,7.0,-7.0,5.04,73,94,0.0099
95,43.56,0.313,0.713,0.05,3.6,3.6,-3.6,5.1,29,50,0.0189
96,90.4,0.123,0.369,0.05,22.0,22.0,-22.0,4.87,52,72,0.0178
97,49.36,0.137,0.578,0.05,3.6,3.6,-3.6,11.13,63,108,0.0277
98,48.99,0.173,0.397,0.05,7.0,7.0,-7.0,6.05,75,100,0.0181
99,43.91,0.166,0.437,0.05,3.6,3.6,-3.6,3.48,75,89,0.0373
100,35.51,0.195,0.533,0.05,3.6,3.6,-3.6,3.81,70,86,0.0096
101,39.17,0.075,0.516,0.05,3.6,3.6,-3.6,6.76,87,115,0.0178
102,42.64,0.164,0.566,0.05,3.6,3.6,-3.6,5.31,39,61,0.0154
103,86.83,0.163,0.53,0.05,11.0,11.0,-11.0,3.3,87,101,0.0184
104,74.61,0.103,0.352,0.05,22.0,22.0,-22.0,5.52,61,84,0.0183
105,52.31,0.116,0.41,0.05,7.0,7.0,-7.0,6.18,88,113,0.0703
106,98.41,0.182,0.478,0.05,11.0,11.0,-11.0,7.6,31,62,0.0406
107,43.69,0.086,0.381,0.05,7.0,7.0,-7.0,6.14,67,92,0.0181
108,38.48,0.118,0.556,0.05,7.0,7.0,-7.0,5.78,38,62,0.0315
109,50.9,0.164,0.477,0.05,3.6,3.6,-3.6,4.66,70,89,0.0216
110,96.82,0.463,0.667,0.05,22.0,22.0,-22.0,7.45,25,55,0.0197
111,39.81,0.179,0.577,0.05,3.6,3.6,-3.6,5.17,38,59,0.0178
112,35.2,0.195,0.436,0.05,7.0,7.0,-7.0,8.62,73,108,0.0152
113,42.73,0.2,0.375,0.05,3.6,3.6,-3.6,2.19,31,40,0.0119
114,90.26,0.298,0.59,0.05,11.0,11.0,-11.0,3.59,74,89,0.0368
115,37.72,0.321,0.569,0.05,3.6,3.6,-3.6,9.89,34,74,0.0363
116,46.94,0.323,0.542,0.05,3.6,3.6,-3.6,10.18,42,83,0.0122
117,35.66,0.165,0.566,0.05,7.0,7.0,-7.0,3.64,41,56,0.0133
118,35.08,0.133,0.338,0.05,7.0,7.0,-7.0,4.7,35,54,0.0361
119,76.03,0.246,0.559,0.05,22.0,22.0,-22.0,5.9,16,40,0.0236
120,98.29,0.197,0.558,0.05,22.0,22.0,-22.0,2.6,73,84,0.0339
121,44.05,0.341,0.654,0.05,7.0,7.0,-7.0,10.76,47,91,0.0316
122,48.98,0.067,0.357,0.05,7.0,7.0,-7.0,2.13,72,81,0.0279
123,52.69,0.175,0.557,0.05,7.0,7.0,-7.0,3.24,38,51,0.0265
124,42.51,0.262,0.545,0.05,7.0,7.0,-7.0,8.51,67,102,0.0564
125,94.06,0.084,0.474,0.05,22.0,22.0,-22.0,4.22,74,91,0.0087
126,72.71,0.18,0.422,0.05,22.0,22.0,-22.0,4.68,82,101,0.0113
127,39.2,0.135,0.276,0.05,3.6,3.6,-3.6,1.62,30,37,0.0208
128,96.65,0.378,0.687,0.05,22.0,22.0,-22.0,3.84,67,83,0.0109
129,51.92,0.151,0.496,0.05,3.6,3.6,-3.6,6.06,62,87,0.0321
130,49.45,0.377,0.639,0.05,3.6,3.6,-3.6,5.29,34,56,0.0228
131,51.17,0.323,0.597,0.05,7.0,7.0,-7.0,3.97,20,36,0.0136
132,46.2,0.376,0.665,0.05,3.6,3.6,-3.6,5.28,75,97,0.0223
133,71.25,0.193,0.417,0.05,11.0,11.0,-11.0,3.83,79,95,0.0286
134,44.72,0.153,0.381,0.05,3.6,3.6,-3.6,2.98,81,93,0.0131
135,51.47,0.196,0.495,0.05,3.6,3.6,-3.6,4.51,79,98,0.0406
136,38.5,0.332,0.718,0.05,3.6,3.6,-3.6,8.68,31,66,0.021
137,51.41,0.157,0.47,0.05,3.6,3.6,-3.6,6.38,78,104,0.023
138,54.25,0.15,0.543,0.05,7.0,7.0,-7.0,4.12,37,54,0.0188
139,44.57,0.229,0.523,0.05,3.6,3.6,-3.6,3.84,18,34,0.0309
140,35.35,0.59,0.771,0.05,3.6,3.6,-3.6,1.87,31,39,0.0153
141,87.73,0.301,0.539,0.05,11.0,11.0,-11.0,9.0,39,76,0.0133
142,79.89,0.292,0.565,0.05,22.0,22.0,-22.0,3.82,86,102,0.0247
143,36.45,0.154,0.55,0.05,3.6,3.6,-3.6,4.39,79,97,0.0231
144,42.88,0.269,0.523,0.05,3.6,3.6,-3.6,6.94,70,98,0.0176
145,52.69,0.194,0.296,0.05,3.6,3.6,-3.6,1.57,69,76,0.0173
146,47.38,0.364,0.576,0.05,7.0,7.0,-7.0,7.24,35,64,0.0146
147,87.29,0.267,0.605,0.05,11.0,11.0,-11.0,9.63,23,62,0.0185
148,46.24,0.301,0.458,0.05,3.6,3.6,-3.6,2.12,67,76,0.042
149,88.98,0.113,0.352,0.05,11.0,11.0,-11.0,3.84,69,85,0.0265
150,48.13,0.204,0.412,0.05,3.6,3.6,-3.6,5.02,33,54,0.0094
151,81.24,0.434,0.844,0.05,11.0,11.0,-11.0,6.56,18,45,0.0204
152,51.92,0.265,0.63,0.05,3.6,3.6,-3.6,6.9,28,56,0.034
153,47.06,0.149,0.478,0.05,3.6,3.6,-3.6,4.53,23,42,0.022
154,48.83,0.201,0.567,0.05,3.6,3.6,-3.6,7.79,65,97,0.0175
155,43.34,0.153,0.432,0.05,7.0,7.0,-7.0,6.87,25,53,0.0073
156,37.04,0.394,0.703,0.05,3.6,3.6,-3.6,6.6,74,101,0.0415
157,96.0,0.272,0.556,0.05,11.0,11.0,-11.0,4.4,85,103,0.0243
158,88.14,0.08,0.326,0.05,11.0,11.0,-11.0,2.07,71,80,0.011
159,41.77,0.276,0.686,0.05,7.0,7.0,-7.0,6.01,37,62,0.0122
160,38.21,0.175,0.412,0.05,3.6,3.6,-3.6,2.74,81,92,0.0503
161,52.78,0.09,0.303,0.05,3.6,3.6,-3.6,3.29,27,41,0.0643
162,92.97,0.146,0.402,0.05,22.0,22.0,-22.0,8.56,72,107,0.0189
163,42.04,0.285,0.61,0.05,7.0,7.0,-7.0,3.35,72,86,0.0148
164,40.6,0.343,0.637,0.05,7.0,7.0,-7.0,2.99,42,54,0.0401
165,46.25,0.082,0.462,0.05,7.0,7.0,-7.0,2.88,22,34,0.0198
166,76.02,0.115,0.541,0.05,11.0,11.0,-11.0,3.92,68,84,0.0274
167,45.28,0.39,0.707,0.05,3.6,3.6,-3.6,4.59,64,83,0.0178
168,95.5,0.309,0.737,0.05,22.0,22.0,-22.0,9.77,70,110,0.0314
169,54.15,0.284,0.556,0.05,3.6,3.6,-3.6,9.68,22,61,0.0152
170,42.14,0.169,0.473,0.05,7.0,7.0,-7.0,8.84,67,103,0.0552
171,35.72,0.184,0.61,0.05,7.0,7.0,-7.0,3.57,32,47,0.0551
172,44.63,0.372,0.505,0.05,3.6,3.6,-3.6,1.73,30,37,0.0086
173,37.67,0.283,0.648,0.05,7.0,7.0,-7.0,3.72,81,96,0.025
174,92.23,0.289,0.712,0.05,11.0,11.0,-11.0,4.09,24,41,0.0135
175,41.02,0.347,0.582,0.05,7.0,7.0,-7.0,6.84,77,105,0.0443
176,39.62,0.213,0.654,0.05,3.6,3.6,-3.6,7.39,44,74,0.0194
177,35.07,0.128,0.473,0.05,7.0,7.0,-7.0,5.64,23,46,0.0497
178,40.45,0.222,0.667,0.05,3.6,3.6,-3.6,5.56,26,49,0.0193
179,37.94,0.288,0.67,0.05,7.0,7.0,-7.0,7.8,35,67,0.0218
180,42.58,0.316,0.615,0.05,3.6,3.6,-3.6,3.72,16,31,0.0163
181,36.88,0.167,0.603,0.05,3.6,3.6,-3.6,7.13,28,57,0.0136
182,49.25,0.165,0.6,0.05,3.6,3.6,-3.6,9.23,65,102,0.042
183,94.21,0.339,0.58,0.05,11.0,11.0,-11.0,11.64,43,90,0.0244
184,47.98,0.362,0.688,0.05,7.0,7.0,-7.0,5.17,80,101,0.0234
185,51.51,0.247,0.682,0.05,3.6,3.6,-3.6,8.19,68,101,0.0345
186,48.38,0.334,0.621,0.05,3.6,3.6,-3.6,7.38,28,58,0.0159
187,38.74,0.354,0.53,0.05,3.6,3.6,-3.6,1.99,26,34,0.0247
188,97.89,0.11,0.351,0.05,11.0,11.0,-11.0,7.04,68,97,0.0181
189,92.01,0.144,0.326,0.05,11.0,11.0,-11.0,1.6,29,36,0.0353
190,77.5,0.064,0.312,0.05,22.0,22.0,-22.0,3.1,29,42,0.0266
191,87.98,0.241,0.671,0.05,11.0,11.0,-11.0,4.03,69,86,0.0233
192,92.37,0.293,0.495,0.05,22.0,22.0,-22.0,9.21,32,69,0.0245
193,47.78,0.229,0.468,0.05,7.0,7.0,-7.0,10.34,62,104,0.0423
194,52.05,0.143,0.406,0.05,7.0,7.0,-7.0,3.95,27,43,0.0124
195,48.74,0.153,0.461,0.05,3.6,3.6,-3.6,10.57,14,57,0.0332
196,49.24,0.159,0.372,0.05,3.6,3.6,-3.6,3.57,30,45,0.0139
197,41.67,0.232,0.496,0.05,3.6,3.6,-3.6,3.22,54,67,0.0351
198,79.3,0.477,0.876,0.05,11.0,11.0,-11.0,7.15,79,108,0.008
199,52.26,0.226,0.486,0.05,3.6,3.6,-3.6,8.41,73,107,0.0145
200,51.52,0.214,0.484,0.05,3.6,3.6,-3.6,6.55,65,92,0.0195
201,96.08,0.168,0.379,0.05,22.0,22.0,-22.0,8.93,76,112,0.0139
202,38.29,0.229,0.46,0.05,3.6,3.6,-3.6,6.31,80,106,0.0182
203,94.35,0.175,0.526,0.05,22.0,22.0,-22.0,7.12,48,77,0.0176
204,40.91,0.226,0.497,0.05,3.6,3.6,-3.6,3.48,29,43,0.0159
205,81.49,0.424,0.64,0.05,22.0,22.0,-22.0,6.3,20,46,0.0081
206,78.68,0.164,0.393,0.05,11.0,11.0,-11.0,2.26,79,89,0.038
207,94.09,0.278,0.512,0.05,22.0,22.0,-22.0,2.19,79,88,0.0389
208,54.47,0.397,0.66,0.05,7.0,7.0,-7.0,2.15,28,37,0.0263
209,53.44,0.449,0.683,0.05,3.6,3.6,-3.6,3.66,12,27,0.0131
210,47.26,0.28,0.448,0.05,3.6,3.6,-3.6,2.33,60,70,0.0133
211,48.26,0.153,0.412,0.05,3.6,3.6,-3.6,4.64,74,93,0.0166
212,92.06,0.381,0.786,0.05,22.0,22.0,-22.0,6.02,32,57,0.0092
213,72.75,0.271,0.597,0.05,11.0,11.0,-11.0,7.94,65,97,0.0317
214,50.05,0.171,0.431,0.05,3.6,3.6,-3.6,4.71,78,97,0.0221
215,92.94,0.261,0.528,0.05,11.0,11.0,-11.0,3.61,77,92,0.0386
216,35.35,0.337,0.634,0.05,3.6,3.6,-3.6,3.07,29,42,0.0117
217,45.58,0.254,0.626,0.05,7.0,7.0,-7.0,3.33,61,75,0.0169
218,42.17,0.253,0.537,0.05,3.6,3.6,-3.6,9.11,26,63,0.0312
219,46.54,0.318,0.635,0.05,7.0,7.0,-7.0,4.16,61,78,0.012
220,40.69,0.277,0.543,0.05,3.6,3.6,-3.6,3.87,80,96,0.0266
221,98.99,0.381,0.618,0.05,22.0,22.0,-22.0,8.25,79,113,0.0144
222,37.06,0.352,0.695,0.05,7.0,7.0,-7.0,4.42,72,90,0.023
223,37.17,0.254,0.646,0.05,3.6,3.6,-3.6,4.92,80,100,0.0245
224,75.61,0.306,0.673,0.05,22.0,22.0,-22.0,2.74,29,40,0.0416
225,99.1,0.115,0.448,0.05,11.0,11.0,-11.0,6.63,32,59,0.0135
226,95.24,0.366,0.808,0.05,11.0,11.0,-11.0,8.48,26,60,0.0245
227,41.42,0.321,0.751,0.05,3.6,3.6,-3.6,6.55,32,59,0.0123
228,44.5,0.189,0.509,0.05,3.6,3.6,-3.6,5.15,45,66,0.0742
229,80.52,0.207,0.531,0.05,11.0,11.0,-11.0,5.47,81,103,0.0065
230,39.13,0.353,0.76,0.05,3.6,3.6,-3.6,6.12,23,48,0.019
231,53.35,0.393,0.625,0.05,3.6,3.6,-3.6,5.95,72,96,0.0249
232,80.08,0.169,0.555,0.05,11.0,11.0,-11.0,6.24,39,64,0.0204
233,50.62,0.12,0.318,0.05,3.6,3.6,-3.6,2.93,70,82,0.0194
234,44.67,0.119,0.324,0.05,3.6,3.6,-3.6,2.68,91,102,0.0323
235,51.07,0.194,0.492,0.05,7.0,7.0,-7.0,2.28,26,36,0.02
236,36.88,0.172,0.508,0.05,7.0,7.0,-7.0,6.01,40,65,0.0183
237,78.34,0.174,0.508,0.05,22.0,22.0,-22.0,4.5,76,94,0.0073
238,47.73,0.133,0.4,0.05,7.0,7.0,-7.0,5.32,45,67,0.0343
239,54.12,0.258,0.503,0.05,7.0,7.0,-7.0,4.14,78,95,0.0152
240,94.73,0.305,0.513,0.05,22.0,22.0,-22.0,9.23,80,117,0.0388
241,38.01,0.174,0.47,0.05,3.6,3.6,-3.6,3.29,80,94,0.0689
242,94.35,0.306,0.551,0.05,11.0,11.0,-11.0,10.39,77,119,0.0127
243,75.03,0.253,0.614,0.05,11.0,11.0,-11.0,4.35,69,87,0.0171
244,42.15,0.087,0.235,0.05,3.6,3.6,-3.6,1.83,81,89,0.0172
245,38.98,0.165,0.545,0.05,3.6,3.6,-3.6,4.48,63,81,0.0248
246,45.55,0.237,0.665,0.05,3.6,3.6,-3.6,5.7,44,67,0.0239
247,48.16,0.244,0.451,0.05,3.6,3.6,-3.6,2.92,48,60,0.0281
248,98.46,0.129,0.331,0.05,22.0,22.0,-22.0,1.65,34,41,0.0448
249,91.1,0.249,0.515,0.05,11.0,11.0,-11.0,2.32,44,54,0.0106
250,38.23,0.432,0.776,0.05,3.6,3.6,-3.6,4.46,65,83,0.018
251,53.0,0.064,0.296,0.05,3.6,3.6,-3.6,3.59,84,99,0.0299
252,54.94,0.233,0.411,0.05,3.6,3.6,-3.6,2.87,24,36,0.0435
253,39.51,0.161,0.428,0.05,3.6,3.6,-3.6,4.46,14,32,0.0316
254,54.05,0.165,0.392,0.05,3.6,3.6,-3.6,4.79,26,46,0.0147
255,38.15,0.19,0.568,0.05,3.6,3.6,-3.6,4.22,73,90,0.0361
256,80.82,0.185,0.525,0.05,22.0,22.0,-22.0,3.69,26,41,0.0351
257,51.76,0.275,0.489,0.05,3.6,3.6,-3.6,5.98,29,53,0.0448
258,52.32,0.24,0.596,0.05,3.6,3.6,-3.6,5.44,75,97,0.0069
259,91.14,0.071,0.512,0.05,22.0,22.0,-22.0,3.51,69,84,0.0443
260,51.85,0.085,0.513,0.05,3.6,3.6,-3.6,6.99,46,74,0.0255
261,36.72,0.18,0.494,0.05,3.6,3.6,-3.6,6.33,85,111,0.014
262,35.73,0.282,0.562,0.05,7.0,7.0,-7.0,3.72,38,53,0.0139
263,80.93,0.099,0.453,0.05,22.0,22.0,-22.0,5.4,70,92,0.0079
264,36.48,0.215,0.489,0.05,7.0,7.0,-7.0,3.99,68,84,0.0072
265,50.53,0.437,0.841,0.05,7.0,7.0,-7.0,8.46,45,79,0.0356
266,39.54,0.153,0.556,0.05,3.6,3.6,-3.6,4.66,40,59,0.0123
267,80.67,0.135,0.429,0.05,22.0,22.0,-22.0,8.28,27,61,0.0262
268,54.77,0.289,0.492,0.05,3.6,3.6,-3.6,3.25,80,93,0.0306
269,42.79,0.417,0.678,0.05,3.6,3.6,-3.6,5.95,24,48,0.0306
270,37.92,0.11,0.334,0.05,3.6,3.6,-3.6,2.49,29,39,0.0071
271,45.25,0.315,0.611,0.05,3.6,3.6,-3.6,7.83,29,61,0.0114
272,41.4,0.384,0.811,0.05,3.6,3.6,-3.6,5.17,65,86,0.0121
273,53.02,0.315,0.653,0.05,3.6,3.6,-3.6,10.72,66,109,0.0116
274,46.54,0.296,0.668,0.05,3.6,3.6,-3.6,8.48,70,104,0.0366
275,72.01,0.25,0.692,0.05,22.0,22.0,-22.0,4.39,34,52,0.0298
276,71.99,0.184,0.483,0.05,22.0,22.0,-22.0,4.32,45,63,0.0123
277,35.19,0.091,0.47,0.05,3.6,3.6,-3.6,9.28,74,112,0.0133
278,76.5,0.157,0.589,0.05,22.0,22.0,-22.0,7.4,42,72,0.0225
279,38.43,0.355,0.636,0.05,3.6,3.6,-3.6,3.16,84,97,0.0124
280,85.55,0.1,0.317,0.05,11.0,11.0,-11.0,5.61,81,104,0.0288
281,39.18,0.251,0.458,0.05,3.6,3.6,-3.6,8.58,39,74,0.0115
282,99.94,0.097,0.432,0.05,11.0,11.0,-11.0,7.62,65,96,0.0187
283,54.75,0.116,0.346,0.05,3.6,3.6,-3.6,3.69,32,47,0.0133
284,42.15,0.296,0.743,0.05,3.6,3.6,-3.6,9.29,67,105,0.0475
285,46.63,0.385,0.803,0.05,7.0,7.0,-7.0,4.52,63,82,0.0094
286,46.51,0.139,0.349,0.05,7.0,7.0,-7.0,6.4,66,92,0.017
287,90.73,0.228,0.648,0.05,11.0,11.0,-11.0,6.06,30,55,0.0186
288,42.64,0.464,0.857,0.05,7.0,7.0,-7.0,6.39,39,65,0.0495
289,93.45,0.133,0.57,0.05,22.0,22.0,-22.0,7.65,34,65,0.0071
290,36.64,0.125,0.412,0.05,7.0,7.0,-7.0,9.46,68,106,0.0198
291,71.69,0.386,0.797,0.05,11.0,11.0,-11.0,8.26,78,112,0.0073
292,39.99,0.235,0.547,0.05,7.0,7.0,-7.0,6.72,72,99,0.0309
293,54.49,0.266,0.561,0.05,3.6,3.6,-3.6,4.69,28,47,0.0366
294,90.08,0.256,0.574,0.05,11.0,11.0,-11.0,2.74,68,79,0.0083
295,74.41,0.098,0.356,0.05,11.0,11.0,-11.0,3.19,47,60,0.0136
296,78.56,0.241,0.521,0.05,11.0,11.0,-11.0,8.99,60,96,0.0155
297,50.56,0.385,0.783,0.05,3.6,3.6,-3.6,10.23,28,69,0.0173
298,79.12,0.091,0.291,0.05,22.0,22.0,-22.0,5.82,19,43,0.0207
299,44.3,0.351,0.53,0.05,3.6,3.6,-3.6,2.32,87,97,0.0276
300,52.11,0.294,0.587,0.05,7.0,7.0,-7.0,2.49,43,53,0.0108
