id,Ecap,SoC_init,SoC_max,SoC_min,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
54,91.4,0.524,1.0,0.0,10.99,-10.99,6.01,10,,0.02
23,53.11,0.375,0.864,0.0,4.1,-4.1,6.9,7,,0.02
5,47.92,0.483,0.981,0.0,3.73,-3.73,5.14,16,,0.02
89,85.73,0.51,0.886,0.0,9.88,-9.88,6.08,26,,0.02
12,36.87,0.403,0.707,0.0,5.88,-5.88,3.08,9,,0.02
8,40.68,0.463,0.944,0.0,6.06,-6.06,2.9,27,,0.02
74,95.96,0.331,0.747,0.0,7.64,-7.64,3.14,10,,0.02
42,75.6,0.347,0.806,0.0,9.77,-9.77,6.81,8,,0.02
37,90.86,0.525,0.837,0.0,9.53,-9.53,7.66,24,,0.02
26,41.71,0.215,0.699,0.0,4.1,-4.1,6.18,15,,0.02
62,97.32,0.25,0.58,0.0,7.22,-7.22,2.97,5,,0.02
84,79.84,0.265,0.763,0.0,9.45,-9.45,7.06,23,,0.02
93,84.35,0.583,0.975,0.0,8.51,-8.51,4.05,17,,0.02
21,37.77,0.456,0.931,0.0,4.45,-4.45,7.61,17,,0.02
71,95.84,0.595,0.964,0.0,8.28,-8.28,2.78,12,,0.02
1,35.75,0.315,0.744,0.0,4.85,-4.85,2.54,27,,0.02
18,50.68,0.296,0.789,0.0,4.4,-4.4,4.81,25,,0.02
87,96.96,0.452,0.871,0.0,10.49,-10.49,7.8,8,,0.02
61,94.87,0.435,0.889,0.0,9.21,-9.21,4.6,4,,0.02
43,91.81,0.441,0.905,0.0,7.32,-7.32,3.76,17,,0.02
53,97.49,0.249,0.72,0.0,8.96,-8.96,3.04,14,,0.02
13,39.28,0.395,0.74,0.0,6.82,-6.82,2.93,4,,0.02
94,80.63,0.488,0.917,0.0,10.09,-10.09,3.59,22,,0.02
30,36.26,0.4,0.807,0.0,6.44,-6.44,5.09,20,,0.02
82,92.65,0.404,0.804,0.0,7.8,-7.8,2.23,1,,0.02
29,40.76,0.219,0.603,0.0,4.62,-4.62,5.74,25,,0.02
68,82.5,0.399,0.825,0.0,9.56,-9.56,5.85,9,,0.02
86,94.47,0.47,0.966,0.0,8.47,-8.47,3.85,18,,0.02
7,36.05,0.334,0.7,0.0,5.75,-5.75,6.07,17,,0.02
32,75.62,0.409,0.782,0.0,9.67,-9.67,5.16,30,,0.02
31,77.26,0.372,0.795,0.0,7.57,-7.57,5.42,7,,0.02
76,98.36,0.587,0.93,0.0,9.02,-9.02,2.29,11,,0.02
95,84.53,0.312,0.671,0.0,10.83,-10.83,7.84,30,,0.02
79,71.36,0.425,0.797,0.0,7.2,-7.2,2.44,9,,0.02
14,40.92,0.403,0.811,0.0,6.28,-6.28,7.3,23,,0.02
