id,Ecap,SoC_init,SoC_max,SoC_min,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
61,78.2,0.173,0.544,0.0,10.97,-10.97,4.25,30,,0.02
62,75.57,0.145,0.599,0.0,9.34,-9.34,6.79,9,,0.02
24,51.37,0.269,0.766,0.0,4.41,-4.41,3.33,16,,0.02
86,90.71,0.299,0.696,0.0,7.6,-7.6,4.5,9,,0.02
68,99.78,0.18,0.617,0.0,7.97,-7.97,2.83,5,,0.02
91,74.8,0.29,0.636,0.0,9.24,-9.24,5.78,12,,0.02
35,39.09,0.188,0.643,0.0,6.71,-6.71,4.8,12,,0.02
67,81.56,0.147,0.464,0.0,8.17,-8.17,5.36,28,,0.02
15,52.39,0.144,0.58,0.0,6.68,-6.68,7.25,21,,0.02
66,73.1,0.189,0.608,0.0,7.36,-7.36,3.95,25,,0.02
87,98.85,0.285,0.614,0.0,7.46,-7.46,4.06,9,,0.02
59,85.02,0.063,0.451,0.0,10.9,-10.9,2.46,26,,0.02
81,86.31,0.14,0.619,0.0,10.16,-10.16,5.56,17,,0.02
37,54.63,0.26,0.743,0.0,5.2,-5.2,3.88,11,,0.02
69,79.03,0.066,0.453,0.0,8.97,-8.97,3.8,13,,0.02
77,98.59,0.227,0.615,0.0,8.85,-8.85,6.99,9,,0.02
36,47.97,0.14,0.616,0.0,4.65,-4.65,2.59,14,,0.02
5,47.11,0.187,0.581,0.0,5.01,-5.01,6.81,17,,0.02
38,35.91,0.235,0.539,0.0,6.54,-6.54,7.61,17,,0.02
29,53.29,0.292,0.703,0.0,5.51,-5.51,4.33,4,,0.02
4,42.35,0.289,0.685,0.0,4.35,-4.35,6.49,14,,0.02
73,99.23,0.13,0.62,0.0,7.54,-7.54,4.87,6,,0.02
11,51.14,0.149,0.612,0.0,6.06,-6.06,3.31,23,,0.02
22,43.78,0.239,0.694,0.0,5.44,-5.44,5.02,4,,0.02
85,87.42,0.161,0.54,0.0,9.3,-9.3,6.08,24,,0.02
57,97.87,0.191,0.604,0.0,8.2,-8.2,4.33,27,,0.02
54,76.34,0.272,0.667,0.0,10.47,-10.47,7.54,1,,0.02
94,93.88,0.25,0.657,0.0,9.31,-9.31,3.96,11,,0.02
53,79.94,0.293,0.772,0.0,10.91,-10.91,2.26,29,,0.02
64,81.69,0.073,0.561,0.0,8.44,-8.44,4.16,14,,0.02
84,93.89,0.075,0.419,0.0,7.42,-7.42,5.11,23,,0.02
65,78.09,0.097,0.487,0.0,7.53,-7.53,5.07,17,,0.02
72,81.4,0.16,0.546,0.0,10.45,-10.45,7.16,26,,0.02
50,46.3,0.106,0.543,0.0,6.97,-6.97,2.48,27,,0.02
25,41.01,0.287,0.763,0.0,3.81,-3.81,3.05,29,,0.02
18,49.38,0.145,0.491,0.0,5.04,-5.04,4.08,14,,0.02
63,91.39,0.089,0.531,0.0,7.33,-7.33,2.93,20,,0.02
2,39.73,0.166,0.498,0.0,5.87,-5.87,5.02,21,,0.02
46,44.76,0.188,0.49,0.0,3.62,-3.62,6.33,16,,0.02
7,43.93,0.07,0.482,0.0,5.99,-5.99,6.97,1,,0.02
80,87.94,0.184,0.668,0.0,9.33,-9.33,6.15,27,,0.02
58,96.9,0.239,0.567,0.0,8.33,-8.33,6.34,22,,0.02
41,54.33,0.173,0.506,0.0,5.78,-5.78,4.11,25,,0.02
