id,Ecap,SoC_init,SoC_max,SoC_min,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
31,49.11,0.393,0.787,0.0,5.01,-5.01,5.31,14,,0.02
48,53.26,0.384,0.735,0.0,4.09,-4.09,6.0,8,,0.02
50,41.91,0.456,0.84,0.0,5.6,-5.6,4.74,8,,0.02
32,42.67,0.403,0.879,0.0,6.73,-6.73,2.42,27,,0.02
9,54.88,0.506,0.927,0.0,4.0,-4.0,5.71,25,,0.02
43,44.76,0.447,0.794,0.0,5.44,-5.44,7.53,21,,0.02
78,92.37,0.511,0.914,0.0,8.9,-8.9,4.71,3,,0.02
57,71.0,0.253,0.734,0.0,8.46,-8.46,6.48,10,,0.02
75,87.88,0.594,1.0,0.0,8.11,-8.11,3.5,17,,0.02
36,41.44,0.479,0.893,0.0,4.24,-4.24,7.14,7,,0.02
89,96.21,0.369,0.852,0.0,10.76,-10.76,7.81,1,,0.02
13,35.05,0.438,0.796,0.0,5.13,-5.13,3.73,7,,0.02
66,74.19,0.322,0.72,0.0,10.79,-10.79,3.41,3,,0.02
80,83.74,0.224,0.62,0.0,10.86,-10.86,4.56,12,,0.02
8,46.54,0.261,0.723,0.0,5.93,-5.93,3.82,30,,0.02
74,76.21,0.548,0.914,0.0,7.86,-7.86,6.73,4,,0.02
96,76.45,0.336,0.71,0.0,8.68,-8.68,3.95,23,,0.02
5,54.49,0.479,0.804,0.0,5.48,-5.48,6.52,27,,0.02
11,41.11,0.444,0.892,0.0,5.71,-5.71,6.58,30,,0.02
47,38.6,0.444,0.82,0.0,4.2,-4.2,3.44,21,,0.02
86,82.8,0.35,0.68,0.0,9.66,-9.66,4.85,29,,0.02
84,95.58,0.508,0.952,0.0,9.6,-9.6,4.58,6,,0.02
20,52.21,0.208,0.661,0.0,5.6,-5.6,3.62,26,,0.02
68,82.57,0.262,0.645,0.0,9.97,-9.97,7.0,3,,0.02
61,76.77,0.47,0.849,0.0,9.71,-9.71,6.83,27,,0.02
34,40.66,0.435,0.935,0.0,4.62,-4.62,7.19,15,,0.02
26,45.85,0.275,0.647,0.0,5.01,-5.01,4.99,24,,0.02
70,98.52,0.24,0.677,0.0,10.42,-10.42,7.41,17,,0.02
58,75.27,0.416,0.91,0.0,7.53,-7.53,5.01,16,,0.02
93,86.7,0.463,0.902,0.0,9.44,-9.44,3.08,0,,0.02
7,36.03,0.391,0.856,0.0,6.8,-6.8,4.95,12,,0.02
73,80.01,0.515,0.856,0.0,10.96,-10.96,6.59,26,,0.02
98,90.22,0.465,0.862,0.0,8.09,-8.09,4.49,14,,0.02
79,76.65,0.491,0.973,0.0,9.46,-9.46,5.13,21,,0.02
24,48.25,0.504,0.812,0.0,4.96,-4.96,3.89,2,,0.02
91,95.42,0.423,0.745,0.0,8.4,-8.4,5.44,8,,0.02
45,37.01,0.32,0.626,0.0,4.17,-4.17,6.78,10,,0.02
71,89.34,0.31,0.804,0.0,7.24,-7.24,7.09,30,,0.02
76,75.23,0.21,0.513,0.0,9.64,-9.64,6.73,25,,0.02
22,54.94,0.526,1.0,0.0,5.08,-5.08,4.09,15,,0.02
94,91.08,0.336,0.637,0.0,8.24,-8.24,2.86,27,,0.02
77,87.67,0.306,0.631,0.0,7.06,-7.06,5.16,13,,0.02
83,87.92,0.402,0.788,0.0,8.18,-8.18,6.21,25,,0.02
15,47.5,0.573,0.958,0.0,5.85,-5.85,3.35,17,,0.02
95,89.72,0.496,0.991,0.0,7.28,-7.28,6.48,2,,0.02
54,84.9,0.314,0.774,0.0,10.62,-10.62,6.81,19,,0.02
52,87.24,0.318,0.814,0.0,10.97,-10.97,4.37,21,,0.02
55,76.57,0.3,0.751,0.0,7.76,-7.76,5.96,24,,0.02
41,50.63,0.449,0.829,0.0,4.5,-4.5,7.11,2,,0.02
81,73.24,0.377,0.857,0.0,9.85,-9.85,5.65,10,,0.02
59,78.18,0.566,1.0,0.0,7.66,-7.66,6.84,30,,0.02
3,40.53,0.504,0.923,0.0,5.6,-5.6,7.0,3,,0.02
90,88.01,0.431,0.774,0.0,8.41,-8.41,4.89,21,,0.02
6,37.05,0.314,0.709,0.0,3.64,-3.64,3.11,10,,0.02
51,79.06,0.541,0.863,0.0,11.0,-11.0,5.43,12,,0.02
10,50.51,0.563,0.923,0.0,4.89,-4.89,7.94,18,,0.02
46,40.87,0.258,0.664,0.0,4.87,-4.87,6.09,18,,0.02
72,83.64,0.457,0.876,0.0,9.65,-9.65,2.3,0,,0.02
65,89.43,0.386,0.826,0.0,9.54,-9.54,4.45,20,,0.02
30,44.23,0.533,0.933,0.0,4.0,-4.0,3.75,22,,0.02
69,88.47,0.312,0.75,0.0,10.76,-10.76,4.66,6,,0.02
49,52.98,0.315,0.724,0.0,5.18,-5.18,4.65,2,,0.02
17,49.98,0.315,0.64,0.0,5.54,-5.54,3.82,22,,0.02
23,41.67,0.543,0.909,0.0,5.88,-5.88,4.97,22,,0.02
56,95.15,0.561,0.991,0.0,9.51,-9.51,6.73,9,,0.02
64,77.01,0.554,0.966,0.0,7.1,-7.1,5.66,29,,0.02
1,42.04,0.323,0.669,0.0,5.14,-5.14,3.16,23,,0.02
16,37.98,0.257,0.569,0.0,4.5,-4.5,3.85,25,,0.02
42,52.05,0.352,0.715,0.0,6.52,-6.52,7.32,22,,0.02
38,48.27,0.592,0.991,0.0,6.39,-6.39,2.76,1,,0.02
33,50.45,0.336,0.793,0.0,6.51,-6.51,6.92,8,,0.02
18,43.05,0.416,0.804,0.0,4.53,-4.53,2.24,19,,0.02
28,48.97,0.589,1.0,0.0,4.01,-4.01,6.26,7,,0.02
39,54.31,0.24,0.709,0.0,4.73,-4.73,5.16,3,,0.02
27,43.84,0.307,0.633,0.0,3.78,-3.78,4.63,9,,0.02
