id,Ecap,SoC_init,SoC_max,SoC_min,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
26,48.44,0.769,1.0,0.0,5.32,-5.32,5.35,28,,0.02
55,80.81,0.685,1.0,0.0,9.71,-9.71,6.55,27,,0.02
62,95.16,0.626,1.0,0.0,10.89,-10.89,7.33,3,,0.02
2,47.17,0.608,1.0,0.0,5.96,-5.96,6.14,10,,0.02
61,83.14,0.756,1.0,0.0,9.45,-9.45,6.11,27,,0.02
35,39.19,0.715,1.0,0.0,6.23,-6.23,6.58,25,,0.02
17,49.25,0.655,1.0,0.0,6.01,-6.01,4.09,27,,0.02
86,86.43,0.747,1.0,0.0,8.26,-8.26,3.21,6,,0.02
50,45.46,0.741,1.0,0.0,4.29,-4.29,5.29,1,,0.02
25,41.86,0.737,1.0,0.0,6.03,-6.03,7.44,15,,0.02
73,83.69,0.765,1.0,0.0,8.36,-8.36,4.73,27,,0.02
3,35.99,0.654,1.0,0.0,5.22,-5.22,6.9,10,,0.02
82,97.63,0.716,1.0,0.0,7.71,-7.71,2.62,4,,0.02
44,48.01,0.775,1.0,0.0,3.73,-3.73,5.74,17,,0.02
58,82.02,0.654,1.0,0.0,10.85,-10.85,4.87,27,,0.02
83,89.73,0.664,1.0,0.0,9.42,-9.42,7.88,13,,0.02
16,47.95,0.602,0.952,0.0,5.64,-5.64,7.66,25,,0.02
66,80.37,0.677,1.0,0.0,9.71,-9.71,7.35,17,,0.02
23,48.21,0.744,1.0,0.0,5.91,-5.91,3.56,9,,0.02
64,93.03,0.713,1.0,0.0,9.31,-9.31,7.24,21,,0.02
8,41.22,0.627,1.0,0.0,5.32,-5.32,5.41,28,,0.02
99,75.8,0.797,1.0,0.0,8.8,-8.8,3.04,30,,0.02
92,78.6,0.768,1.0,0.0,8.0,-8.0,3.22,9,,0.02
59,82.65,0.633,0.96,0.0,10.54,-10.54,2.35,23,,0.02
53,72.25,0.781,1.0,0.0,9.89,-9.89,7.93,14,,0.02
36,36.76,0.727,1.0,0.0,5.69,-5.69,4.86,30,,0.02
31,44.44,0.624,1.0,0.0,4.26,-4.26,3.79,16,,0.02
34,44.75,0.635,1.0,0.0,5.75,-5.75,4.71,0,,0.02
40,51.48,0.658,1.0,0.0,4.61,-4.61,5.14,19,,0.02
49,40.65,0.7,1.0,0.0,6.27,-6.27,3.58,24,,0.02
14,54.3,0.729,1.0,0.0,6.51,-6.51,5.91,8,,0.02
19,35.15,0.793,1.0,0.0,7.0,-7.0,5.88,17,,0.02
96,99.27,0.71,1.0,0.0,8.25,-8.25,3.22,8,,0.02
22,45.35,0.611,1.0,0.0,4.42,-4.42,5.6,25,,0.02
98,89.43,0.709,1.0,0.0,10.02,-10.02,6.35,24,,0.02
28,38.66,0.667,0.985,0.0,5.91,-5.91,3.34,11,,0.02
78,97.91,0.691,1.0,0.0,8.57,-8.57,4.03,22,,0.02
45,46.88,0.622,1.0,0.0,3.76,-3.76,6.14,1,,0.02
12,52.41,0.67,1.0,0.0,5.6,-5.6,3.55,28,,0.02
52,97.21,0.734,1.0,0.0,10.34,-10.34,6.68,2,,0.02
69,76.68,0.681,1.0,0.0,9.57,-9.57,4.67,14,,0.02
70,87.19,0.7,1.0,0.0,7.35,-7.35,6.47,15,,0.02
54,78.88,0.62,0.955,0.0,8.86,-8.86,7.11,1,,0.02
21,52.23,0.742,1.0,0.0,4.49,-4.49,3.13,9,,0.02
65,85.57,0.724,1.0,0.0,9.75,-9.75,3.49,23,,0.02
9,38.47,0.64,0.952,0.0,6.58,-6.58,4.74,1,,0.02
67,88.39,0.787,1.0,0.0,7.05,-7.05,7.11,15,,0.02
24,43.37,0.607,1.0,0.0,4.92,-4.92,6.9,18,,0.02
29,52.43,0.777,1.0,0.0,5.03,-5.03,3.76,18,,0.02
68,96.08,0.698,1.0,0.0,7.3,-7.3,2.3,8,,0.02
41,43.67,0.627,1.0,0.0,5.94,-5.94,4.16,15,,0.02
10,53.36,0.655,1.0,0.0,6.0,-6.0,4.38,16,,0.02
46,43.34,0.709,1.0,0.0,4.89,-4.89,3.23,4,,0.02
71,70.53,0.607,1.0,0.0,8.61,-8.61,2.55,26,,0.02
74,86.8,0.695,1.0,0.0,9.48,-9.48,4.72,22,,0.02
63,83.22,0.731,1.0,0.0,7.25,-7.25,6.07,27,,0.02
39,52.54,0.621,1.0,0.0,4.66,-4.66,3.0,9,,0.02
85,74.0,0.74,1.0,0.0,8.65,-8.65,7.06,9,,0.02
79,92.71,0.727,1.0,0.0,7.19,-7.19,6.63,3,,0.02
81,92.09,0.687,1.0,0.0,9.21,-9.21,5.05,29,,0.02
7,44.69,0.675,0.986,0.0,5.36,-5.36,2.95,25,,0.02
77,94.66,0.682,1.0,0.0,9.97,-9.97,3.13,6,,0.02
42,38.77,0.784,1.0,0.0,6.82,-6.82,3.35,7,,0.02
95,90.88,0.609,0.986,0.0,9.77,-9.77,7.74,13,,0.02
6,43.34,0.638,0.98,0.0,5.79,-5.79,4.44,26,,0.02
20,47.18,0.622,0.934,0.0,4.61,-4.61,5.84,8,,0.02
91,81.43,0.611,0.965,0.0,7.21,-7.21,2.97,25,,0.02
60,98.27,0.683,1.0,0.0,7.64,-7.64,5.41,25,,0.02
43,54.7,0.604,1.0,0.0,4.32,-4.32,4.2,3,,0.02
1,48.1,0.695,1.0,0.0,5.54,-5.54,2.86,12,,0.02
33,52.86,0.629,1.0,0.0,6.95,-6.95,6.67,5,,0.02
