id,Ecap,SoC_init,SoC_max,SoC_min,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
92,36.74,0.349,0.815,0.0,8.51,-8.51,3.3,9,,0.02
20,97.57,0.428,0.843,0.0,7.05,-7.05,2.23,3,,0.02
30,84.43,0.358,0.772,0.0,5.79,-5.79,5.7,17,,0.02
13,75.37,0.366,0.687,0.0,8.0,-8.0,5.46,20,,0.02
68,38.42,0.549,1.0,0.0,6.34,-6.34,7.21,5,,0.02
81,46.25,0.453,0.851,0.0,7.08,-7.08,7.3,5,,0.02
88,97.83,0.408,0.821,0.0,5.22,-5.22,3.89,21,,0.02
60,44.14,0.551,0.9,0.0,8.51,-8.51,4.37,17,,0.02
11,77.97,0.228,0.589,0.0,5.16,-5.16,3.3,30,,0.02
69,49.24,0.324,0.778,0.0,6.68,-6.68,3.73,14,,0.02
26,88.97,0.41,0.774,0.0,5.22,-5.22,2.9,18,,0.02
43,42.87,0.339,0.709,0.0,5.63,-5.63,3.81,20,,0.02
94,97.15,0.336,0.733,0.0,5.62,-5.62,5.14,27,,0.02
46,49.6,0.471,0.946,0.0,7.08,-7.08,3.36,21,,0.02
58,82.83,0.443,0.908,0.0,8.1,-8.1,3.88,23,,0.02
76,92.48,0.214,0.668,0.0,6.44,-6.44,4.21,10,,0.02
77,36.35,0.42,0.779,0.0,6.71,-6.71,2.73,4,,0.02
23,90.69,0.563,0.982,0.0,7.3,-7.3,2.22,9,,0.02
51,92.96,0.366,0.748,0.0,8.52,-8.52,6.47,14,,0.02
55,52.04,0.255,0.594,0.0,6.97,-6.97,4.45,1,,0.02
12,73.04,0.354,0.693,0.0,5.92,-5.92,3.49,21,,0.02
85,35.12,0.337,0.781,0.0,7.74,-7.74,7.76,19,,0.02
50,36.36,0.488,0.825,0.0,7.13,-7.13,7.28,26,,0.02
14,91.08,0.242,0.7,0.0,6.71,-6.71,4.41,17,,0.02
89,76.25,0.52,0.997,0.0,7.74,-7.74,2.4,11,,0.02
61,86.73,0.452,0.762,0.0,7.06,-7.06,4.64,9,,0.02
4,96.49,0.346,0.77,0.0,7.48,-7.48,6.33,10,,0.02
17,76.42,0.57,0.921,0.0,8.06,-8.06,4.71,30,,0.02
7,52.47,0.394,0.714,0.0,5.81,-5.81,5.85,18,,0.02
57,53.54,0.547,0.945,0.0,8.94,-8.94,7.2,10,,0.02
70,52.97,0.201,0.654,0.0,8.84,-8.84,4.75,0,,0.02
44,99.36,0.225,0.576,0.0,6.1,-6.1,7.34,12,,0.02
79,88.87,0.393,0.831,0.0,8.95,-8.95,6.73,29,,0.02
40,80.81,0.317,0.794,0.0,5.43,-5.43,3.39,12,,0.02
10,80.83,0.556,1.0,0.0,7.97,-7.97,6.25,25,,0.02
22,87.07,0.231,0.596,0.0,5.87,-5.87,3.04,15,,0.02
32,43.27,0.276,0.645,0.0,6.46,-6.46,2.15,20,,0.02
74,46.56,0.332,0.65,0.0,7.41,-7.41,4.5,3,,0.02
37,77.76,0.492,0.82,0.0,6.93,-6.93,6.01,22,,0.02
91,46.9,0.501,0.942,0.0,8.46,-8.46,6.26,10,,0.02
