id,Ecap,SoC_init,SoC_max,SoC_min,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
65,90.5,0.364,0.702,0.0,7.69,-7.69,4.68,8,,0.02
18,49.97,0.485,0.873,0.0,6.73,-6.73,2.52,6,,0.02
80,91.14,0.333,0.739,0.0,7.57,-7.57,7.76,11,,0.02
39,39.89,0.415,0.745,0.0,5.2,-5.2,7.76,29,,0.02
5,44.17,0.407,0.72,0.0,5.86,-5.86,4.39,17,,0.02
21,47.15,0.507,0.977,0.0,6.25,-6.25,7.25,21,,0.02
17,45.61,0.495,0.883,0.0,3.63,-3.63,3.28,23,,0.02
91,84.79,0.464,0.784,0.0,8.51,-8.51,6.73,15,,0.02
43,36.38,0.385,0.854,0.0,5.18,-5.18,2.52,10,,0.02
69,93.46,0.463,0.86,0.0,8.44,-8.44,5.39,29,,0.02
62,97.52,0.599,0.939,0.0,7.3,-7.3,4.66,20,,0.02
28,43.47,0.492,0.9,0.0,4.97,-4.97,3.66,4,,0.02
99,78.84,0.48,0.82,0.0,9.65,-9.65,3.24,0,,0.02
9,43.83,0.587,0.928,0.0,3.6,-3.6,7.46,22,,0.02
77,84.77,0.447,0.765,0.0,8.24,-8.24,5.61,7,,0.02
14,41.87,0.558,0.997,0.0,4.01,-4.01,2.42,15,,0.02
76,87.03,0.585,1.0,0.0,7.57,-7.57,7.29,25,,0.02
97,91.66,0.38,0.736,0.0,9.92,-9.92,2.58,7,,0.02
82,99.28,0.431,0.859,0.0,9.93,-9.93,5.9,15,,0.02
74,81.65,0.597,0.932,0.0,10.74,-10.74,5.56,7,,0.02
10,52.64,0.562,1.0,0.0,4.63,-4.63,5.93,2,,0.02
40,35.71,0.514,0.945,0.0,6.33,-6.33,3.93,7,,0.02
44,44.13,0.387,0.844,0.0,4.85,-4.85,5.74,23,,0.02
59,82.13,0.524,0.874,0.0,8.81,-8.81,2.61,14,,0.02
52,89.87,0.388,0.858,0.0,7.52,-7.52,6.8,29,,0.02
96,83.03,0.399,0.894,0.0,7.21,-7.21,6.18,13,,0.02
37,44.99,0.41,0.761,0.0,5.53,-5.53,7.37,3,,0.02
33,49.16,0.349,0.84,0.0,5.99,-5.99,5.1,16,,0.02
3,36.86,0.383,0.871,0.0,5.35,-5.35,4.73,11,,0.02
46,45.93,0.345,0.832,0.0,6.31,-6.31,3.4,0,,0.02
55,82.2,0.589,0.931,0.0,9.14,-9.14,4.78,9,,0.02
88,75.04,0.327,0.768,0.0,10.54,-10.54,6.38,20,,0.02
26,54.75,0.476,0.779,0.0,3.85,-3.85,2.24,6,,0.02
87,73.12,0.399,0.715,0.0,8.98,-8.98,7.89,11,,0.02
78,70.6,0.4,0.822,0.0,8.91,-8.91,2.78,25,,0.02
66,74.46,0.485,0.915,0.0,9.46,-9.46,4.47,15,,0.02
31,49.6,0.317,0.635,0.0,6.48,-6.48,2.7,13,,0.02
61,94.71,0.489,0.918,0.0,8.49,-8.49,5.52,18,,0.02
54,74.08,0.333,0.654,0.0,10.08,-10.08,4.8,14,,0.02
67,86.52,0.384,0.711,0.0,7.24,-7.24,5.86,6,,0.02
94,74.83,0.583,1.0,0.0,7.3,-7.3,5.56,10,,0.02
79,91.51,0.553,0.918,0.0,10.68,-10.68,2.89,0,,0.02
71,93.36,0.597,1.0,0.0,7.23,-7.23,5.5,24,,0.02
30,46.73,0.495,0.924,0.0,6.19,-6.19,6.19,9,,0.02
53,91.02,0.395,0.75,0.0,9.94,-9.94,7.66,2,,0.02
95,88.41,0.309,0.798,0.0,8.93,-8.93,5.64,5,,0.02
45,44.28,0.448,0.903,0.0,5.61,-5.61,6.39,6,,0.02
11,40.01,0.571,0.904,0.0,4.86,-4.86,5.75,12,,0.02
13,44.54,0.368,0.804,0.0,4.05,-4.05,2.05,0,,0.02
20,50.82,0.493,0.843,0.0,4.44,-4.44,5.6,19,,0.02
8,35.92,0.551,0.854,0.0,5.73,-5.73,7.15,29,,0.02
73,97.52,0.599,0.943,0.0,7.22,-7.22,7.9,27,,0.02
35,52.73,0.309,0.77,0.0,6.22,-6.22,5.14,8,,0.02
29,41.2,0.361,0.823,0.0,5.34,-5.34,3.96,17,,0.02
86,70.97,0.576,1.0,0.0,9.41,-9.41,5.84,7,,0.02
60,93.81,0.319,0.775,0.0,7.49,-7.49,2.78,7,,0.02
57,71.21,0.398,0.717,0.0,10.34,-10.34,7.81,7,,0.02
98,81.79,0.447,0.758,0.0,9.2,-9.2,4.57,0,,0.02
6,54.36,0.448,0.813,0.0,6.4,-6.4,4.03,9,,0.02
58,81.89,0.39,0.854,0.0,7.2,-7.2,2.19,5,,0.02
93,78.85,0.585,0.9,0.0,8.27,-8.27,7.33,5,,0.02
92,87.34,0.368,0.758,0.0,10.03,-10.03,7.07,25,,0.02
49,54.22,0.343,0.699,0.0,6.91,-6.91,7.53,1,,0.02
48,42.53,0.392,0.733,0.0,6.11,-6.11,4.52,7,,0.02
24,36.42,0.304,0.676,0.0,6.62,-6.62,2.79,10,,0.02
50,52.95,0.51,0.885,0.0,5.37,-5.37,2.51,23,,0.02
70,79.65,0.308,0.727,0.0,8.08,-8.08,7.37,0,,0.02
83,75.23,0.508,0.994,0.0,10.87,-10.87,4.14,25,,0.02
12,49.52,0.429,0.747,0.0,6.17,-6.17,2.01,3,,0.02
34,51.45,0.412,0.862,0.0,4.48,-4.48,3.61,27,,0.02
85,91.86,0.585,0.963,0.0,10.8,-10.8,7.79,24,,0.02
63,73.86,0.549,0.915,0.0,10.62,-10.62,7.65,1,,0.02
